Date AAPL IBM CSCO MSFT
2013-01-31 497.822381 197.271905 20.699524 27.236667
2013-02-28 456.808953 200.735788 20.988947 27.704211
2013-03-31 441.840998 210.978001 21.335000 28.141000
2013-04-30 419.764998 204.733636 20.914545 29.870909
2013-05-31 446.452730 205.263639 22.386364 33.950909
2013-06-30 425.537999 200.850000 24.375500 34.632500
2013-07-31 429.157272 194.354546 25.378636 33.650454
2013-08-31 484.843635 187.125000 24.948636 32.485000
2013-09-30 480.184499 188.767000 24.080000 32.523500
2013-10-31 504.744783 180.710002 22.847391 34.382174
2013-11-30 524.616499 181.333502 22.204000 37.362500
2013-12-31 559.657613 179.114763 21.257619 37.455715
