stk_flow,geo,Year,Value
LOSS_CLIM_MEUR,EU28,2016 ,681.0
LOSS_CUM_EUR_HAB,AT,2016 ,1590.0
LOSS_CUM_EUR_HAB,BE,2016 ,399.0
LOSS_CUM_EUR_HAB,BG,2016 ,296.0
LOSS_CUM_EUR_HAB,CH,2016 ,2580.0
LOSS_CUM_EUR_HAB,CY,2016 ,574.0
LOSS_CUM_EUR_HAB,CZ,2016 ,968.0
LOSS_CUM_EUR_HAB,DE,2016 ,1217.0
LOSS_CUM_EUR_HAB,DK,2016 ,1868.0
LOSS_CUM_EUR_HAB,EE,2016 ,72.0
LOSS_CUM_EUR_HAB,EL,2016 ,679.0
LOSS_CUM_EUR_HAB,ES,2016 ,828.0
LOSS_CUM_EUR_HAB,EU28,2016 ,852.0
LOSS_CUM_EUR_HAB,FI,2016 ,364.0
LOSS_CUM_EUR_HAB,FR,2016 ,996.0
LOSS_CUM_EUR_HAB,HR,2016 ,612.0
LOSS_CUM_EUR_HAB,HU,2016 ,561.0
LOSS_CUM_EUR_HAB,IE,2016 ,992.0
LOSS_CUM_EUR_HAB,IS,2016 ,279.0
LOSS_CUM_EUR_HAB,IT,2016 ,1072.0
LOSS_CUM_EUR_HAB,LI,2016 ,186.0
LOSS_CUM_EUR_HAB,LT,2016 ,274.0
LOSS_CUM_EUR_HAB,LU,2016 ,1605.0
LOSS_CUM_EUR_HAB,LV,2016 ,150.0
LOSS_CUM_EUR_HAB,MT,2016 ,160.0
LOSS_CUM_EUR_HAB,NL,2016 ,509.0
LOSS_CUM_EUR_HAB,NO,2016 ,746.0
LOSS_CUM_EUR_HAB,PL,2016 ,362.0
LOSS_CUM_EUR_HAB,PT,2016 ,597.0
LOSS_CUM_EUR_HAB,RO,2016 ,491.0
LOSS_CUM_EUR_HAB,SE,2016 ,477.0
LOSS_CUM_EUR_HAB,SI,2016 ,817.0
LOSS_CUM_EUR_HAB,SK,2016 ,308.0
LOSS_CUM_EUR_HAB,TR,2016 ,60.0
LOSS_CUM_EUR_HAB,UK,2016 ,888.0
LOSS_HYD_MEUR,EU28,2016 ,5950.0
LOSS_MET_MEUR,EU28,2016 ,2765.0
LOSS_MEUR,EU28,2016 ,9396.0
LOSS_CLIM_MEUR,EU28,2015 ,2116.0
LOSS_HYD_MEUR,EU28,2015 ,4600.0
LOSS_MET_MEUR,EU28,2015 ,4734.0
LOSS_MEUR,EU28,2015 ,11450.0
LOSS_CLIM_MEUR,EU28,2014 ,789.0
LOSS_HYD_MEUR,EU28,2014 ,5371.0
LOSS_MET_MEUR,EU28,2014 ,5443.0
LOSS_MEUR,EU28,2014 ,11603.0
LOSS_CLIM_MEUR,EU28,2013 ,730.0
LOSS_HYD_MEUR,EU28,2013 ,10948.0
LOSS_MET_MEUR,EU28,2013 ,11040.0
LOSS_MEUR,EU28,2013 ,22718.0
LOSS_CLIM_MEUR,EU28,2012 ,3468.0
LOSS_HYD_MEUR,EU28,2012 ,750.0
LOSS_MET_MEUR,EU28,2012 ,594.0
LOSS_MEUR,EU28,2012 ,4812.0
LOSS_CLIM_MEUR,EU28,2011 ,533.0
LOSS_HYD_MEUR,EU28,2011 ,3367.0
LOSS_MET_MEUR,EU28,2011 ,3549.0
LOSS_MEUR,EU28,2011 ,7449.0
LOSS_CLIM_MEUR,EU28,2010 ,4674.0
LOSS_HYD_MEUR,EU28,2010 ,8582.0
LOSS_MET_MEUR,EU28,2010 ,5967.0
LOSS_MEUR,EU28,2010 ,19223.0
LOSS_CLIM_MEUR,EU28,2009 ,1775.0
LOSS_HYD_MEUR,EU28,2009 ,1384.0
LOSS_MET_MEUR,EU28,2009 ,6106.0
LOSS_MEUR,EU28,2009 ,9265.0
LOSS_CLIM_MEUR,EU28,2008 ,34.0
LOSS_HYD_MEUR,EU28,2008 ,821.0
LOSS_MET_MEUR,EU28,2008 ,4500.0
LOSS_MEUR,EU28,2008 ,5355.0
LOSS_CLIM_MEUR,EU28,2007 ,2444.0
LOSS_HYD_MEUR,EU28,2007 ,6037.0
