,indic,source,unit,Year,Value
0,TD_EUR,GISTEMP,DEGC,2017 ,1.74
1,TD_EUR,HADCRUT4,DEGC,2017 ,1.73
2,TD_EUR,NOAAGLOBALTEMP,DEGC,2017 ,1.73
3,TD_GLB,GISTEMP,DEGC,2017 ,1.12
4,TD_GLB,HADCRUT4,DEGC,2017 ,0.99
5,TD_GLB,NOAAGLOBALTEMP,DEGC,2017 ,1.04
6,TD_EUR,GISTEMP,DEGC,2016 ,1.82
7,TD_EUR,HADCRUT4,DEGC,2016 ,1.86
8,TD_EUR,NOAAGLOBALTEMP,DEGC,2016 ,1.82
9,TD_GLB,GISTEMP,DEGC,2016 ,1.21
10,TD_GLB,HADCRUT4,DEGC,2016 ,1.11
11,TD_GLB,NOAAGLOBALTEMP,DEGC,2016 ,1.14
12,TD_EUR,GISTEMP,DEGC,2015 ,1.82
13,TD_EUR,HADCRUT4,DEGC,2015 ,1.88
14,TD_EUR,NOAAGLOBALTEMP,DEGC,2015 ,1.94
15,TD_GLB,GISTEMP,DEGC,2015 ,1.08
16,TD_GLB,HADCRUT4,DEGC,2015 ,1.08
17,TD_GLB,NOAAGLOBALTEMP,DEGC,2015 ,1.1
18,TD_EUR,GISTEMP,DEGC,2014 ,2.09
19,TD_EUR,HADCRUT4,DEGC,2014 ,2.2
20,TD_EUR,NOAAGLOBALTEMP,DEGC,2014 ,2.16
21,TD_GLB,GISTEMP,DEGC,2014 ,0.95
22,TD_GLB,HADCRUT4,DEGC,2014 ,0.9
23,TD_GLB,NOAAGLOBALTEMP,DEGC,2014 ,0.94
24,TD_EUR,GISTEMP,DEGC,2013 ,1.33
25,TD_EUR,HADCRUT4,DEGC,2013 ,1.41
26,TD_EUR,NOAAGLOBALTEMP,DEGC,2013 ,1.4
27,TD_GLB,GISTEMP,DEGC,2013 ,0.86
28,TD_GLB,HADCRUT4,DEGC,2013 ,0.83
29,TD_GLB,NOAAGLOBALTEMP,DEGC,2013 ,0.86
30,TD_EUR,GISTEMP,DEGC,2012 ,1.34
31,TD_EUR,HADCRUT4,DEGC,2012 ,1.38
32,TD_EUR,NOAAGLOBALTEMP,DEGC,2012 ,1.42
33,TD_GLB,GISTEMP,DEGC,2012 ,0.83
34,TD_GLB,HADCRUT4,DEGC,2012 ,0.79
35,TD_GLB,NOAAGLOBALTEMP,DEGC,2012 ,0.82
36,TD_EUR,GISTEMP,DEGC,2011 ,1.57
37,TD_EUR,HADCRUT4,DEGC,2011 ,1.56
38,TD_EUR,NOAAGLOBALTEMP,DEGC,2011 ,1.56
39,TD_GLB,GISTEMP,DEGC,2011 ,0.8
40,TD_GLB,HADCRUT4,DEGC,2011 ,0.74
41,TD_GLB,NOAAGLOBALTEMP,DEGC,2011 ,0.78
42,TD_EUR,GISTEMP,DEGC,2010 ,1.07
43,TD_EUR,HADCRUT4,DEGC,2010 ,1.07
44,TD_EUR,NOAAGLOBALTEMP,DEGC,2010 ,1.16
45,TD_GLB,GISTEMP,DEGC,2010 ,0.92
46,TD_GLB,HADCRUT4,DEGC,2010 ,0.88
47,TD_GLB,NOAAGLOBALTEMP,DEGC,2010 ,0.9
48,TD_EUR,GISTEMP,DEGC,2009 ,1.48
49,TD_EUR,HADCRUT4,DEGC,2009 ,1.49
50,TD_EUR,NOAAGLOBALTEMP,DEGC,2009 ,1.52
51,TD_GLB,GISTEMP,DEGC,2009 ,0.85
52,TD_GLB,HADCRUT4,DEGC,2009 ,0.82
53,TD_GLB,NOAAGLOBALTEMP,DEGC,2009 ,0.83
54,TD_EUR,GISTEMP,DEGC,2008 ,1.51
55,TD_EUR,HADCRUT4,DEGC,2008 ,1.56
56,TD_EUR,NOAAGLOBALTEMP,DEGC,2008 ,1.56
57,TD_GLB,GISTEMP,DEGC,2008 ,0.74
58,TD_GLB,HADCRUT4,DEGC,2008 ,0.71
59,TD_GLB,NOAAGLOBALTEMP,DEGC,2008 ,0.74
60,TD_EUR,GISTEMP,DEGC,2007 ,1.65
61,TD_EUR,HADCRUT4,DEGC,2007 ,1.64
62,TD_EUR,NOAAGLOBALTEMP,DEGC,2007 ,1.69
63,TD_GLB,GISTEMP,DEGC,2007 ,0.86
64,TD_GLB,HADCRUT4,DEGC,2007 ,0.81
65,TD_GLB,NOAAGLOBALTEMP,DEGC,2007 ,0.81
66,TD_EUR,GISTEMP,DEGC,2006 ,1.57
67,TD_EUR,HADCRUT4,DEGC,2006 ,1.57
68,TD_EUR,NOAAGLOBALTEMP,DEGC,2006 ,1.55
69,TD_GLB,GISTEMP,DEGC,2006 ,0.84
70,TD_GLB,HADCRUT4,DEGC,2006 ,0.82
71,TD_GLB,NOAAGLOBALTEMP,DEGC,2006 ,0.81
72,TD_EUR,GISTEMP,DEGC,2005 ,1.26
73,TD_EUR,HADCRUT4,DEGC,2005 ,1.18
74,TD_EUR,NOAAGLOBALTEMP,DEGC,2005 ,1.17
75,TD_GLB,GISTEMP,DEGC,2005 ,0.89
