indic_en,Year,Percent,Country
Gross final energy consumption,2004 ,27.8 ,Albania
Transport,2004 ,0.1 ,Albania
Electricity,2004 ,63.0 ,Albania
Heating and Cooling,2004 ,33.1 ,Albania
Gross final energy consumption,2005 ,30.3,Albania
Transport,2005 ,0.1,Albania
Electricity,2005 ,72.1,Albania
Heating and Cooling,2005 ,37.8,Albania
Gross final energy consumption,2006 ,32.1,Albania
Transport,2006 ,0.0,Albania
Electricity,2006 ,74.2,Albania
Heating and Cooling,2006 ,31.0,Albania
Gross final energy consumption,2007 ,32.7,Albania
Transport,2007 ,0.0,Albania
Electricity,2007 ,79.6,Albania
Heating and Cooling,2007 ,33.1,Albania
Gross final energy consumption,2008 ,32.4,Albania
Transport,2008 ,0.0,Albania
Electricity,2008 ,73.3,Albania
Heating and Cooling,2008 ,37.1,Albania
Gross final energy consumption,2009 ,31.4,Albania
Transport,2009 ,0.0,Albania
Electricity,2009 ,70.7,Albania
Heating and Cooling,2009 ,34.7,Albania
Gross final energy consumption,2010 ,31.9,Albania
Transport,2010 ,0.0,Albania
Electricity,2010 ,74.6,Albania
Heating and Cooling,2010 ,31.3,Albania
Gross final energy consumption,2011 ,31.2,Albania
Transport,2011 ,0.0,Albania
Electricity,2011 ,66.1,Albania
Heating and Cooling,2011 ,31.4,Albania
Gross final energy consumption,2012 ,35.2,Albania
Transport,2012 ,0.0,Albania
Electricity,2012 ,72.4,Albania
Heating and Cooling,2012 ,39.1,Albania
Gross final energy consumption,2013 ,33.2,Albania
Transport,2013 ,0.0,Albania
Electricity,2013 ,62.7,Albania
Heating and Cooling,2013 ,37.8,Albania
Gross final energy consumption,2014 ,31.5,Albania
Transport,2014 ,0.0,Albania
Electricity,2014 ,71.0,Albania
Heating and Cooling,2014 ,31.0,Albania
Gross final energy consumption,2015 ,34.4,Albania
Transport,2015 ,0.0,Albania
Electricity,2015 ,79.2,Albania
Heating and Cooling,2015 ,34.6,Albania
Gross final energy consumption,2016 ,37.1,Albania
Transport,2016 ,0.0,Albania
Electricity,2016 ,86.0,Albania
Heating and Cooling,2016 ,33.8,Albania
Gross final energy consumption,2004 ,22.5 ,Austria
Transport,2004 ,4.5 ,Austria
Electricity,2004 ,61.6 ,Austria
Heating and Cooling,2004 ,20.1 ,Austria
Gross final energy consumption,2005 ,23.7,Austria
Transport,2005 ,4.8,Austria
Electricity,2005 ,61.9,Austria
Heating and Cooling,2005 ,22.0,Austria
Gross final energy consumption,2006 ,25.4,Austria
Transport,2006 ,7.5,Austria
Electricity,2006 ,62.0,Austria
Heating and Cooling,2006 ,23.1,Austria
Gross final energy consumption,2007 ,27.0,Austria
Transport,2007 ,8.2,Austria
Electricity,2007 ,64.0,Austria
Heating and Cooling,2007 ,25.2,Austria
Gross final energy consumption,2008 ,27.8,Austria
Transport,2008 ,9.5,Austria
