"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/0000","All products","","0000","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/2000","Solid fuels","","2000","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/2100","Hard coal and derivatives","","2100","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/2110","Hard Coal & Patent Fuels","","2110","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/2111","Hard coal","","2111","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/2112","Patent Fuels","","2112","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/2115","Anthracite","","2115","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/2116","Coking Coal","","2116","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/2117","Other Bituminous Coal","","2117","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/2118","Sub-bituminous Coal","","2118","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/2120","Coke","","2120","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/2121","Coke Oven Coke","","2121","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/2122","Gas Coke","","2122","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/2130","Coal Tar","","2130","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/2200","Lignite and Derivatives","","2200","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/2210","Lignite/Brown Coal","","2210","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/2211","Black Lignite","","2211","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/2212","Brown Coal (Lignite)","","2212","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/2220","Brown Coal Coke","","2220","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/2230","BKB (brown coal briquettes)","","2230","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/2310","Peat","","2310","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3000","Total petroleum products","","3000","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3100","Crude oil, feedstocks and other hydrocarbons","","3100","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3105","Crude oil (without NGL)","","3105","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3106","Natural gas liquids (NGL)","","3106","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3110","Crude oil and NGL","","3110","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3150","Refined oil products","","3150","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3190","Feedstocks and other hydrocarbons","","3190","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3191","Refinery feedstocks","","3191","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3192","Additives/Oxygenates","","3192","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3193","Other hydrocarbons","","3193","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3200","All petroleum products","","3200","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3205","LPG & Refinery Gas","","3205","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3210","Refinery gas and ethane","","3210","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3214","Refinery gas","","3214","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3215","Ethane","","3215","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3220","Liquified petroleum gas (LPG)","","3220","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3225","LPG Fuel","","3225","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3230","Motor spirit","","3230","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3234","Gasoline (without bio components)","","3234","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3235","Aviation gasoline","","3235","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3236","Car Spirit","","3236","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3237","Premium leaded gasoline","","3237","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3238","Premium unleaded gasoline, 95 Ron","","3238","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3240","Kerosenes - Jet Fuels","","3240","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3244","Other kerosene","","3244","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3246","Gasoline type jet fuel","","3246","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3247","Kerosene type jet fuel (without bio components)","","3247","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3250","Naphtha","","3250","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3260","Gas/diesel oil (without bio components)","","3260","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3265","Transport Diesel","","3265","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3266","Heating and other gas oil (blended with bio components)","","3266","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3270","Residual Fuel Oil","","3270","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3270A","Total fuel oil","","3270A","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3271","Fuel oil-low sulphur (<1%)","","3271","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3272","Fuel oil-high sulphur (>=1%)","","3272","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3280","Other petroleum products","","3280","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3281","White Spirit and SBP","","3281","valid","2011-05-06"
"http://dd.eionet.europa.eu/vocabulary/eurostat/product/3282","Lubricants","","3282","valid","2011-05-06"
