"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/BE_EBAW","ANTWERPEN/DEURNE airport","","BE_EBAW","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/BE_EBBR","BRUSSELS airport","","BE_EBBR","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/BE_EBCI","CHARLEROI/BRUSSELS SOUTH airport","","BE_EBCI","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/BE_EBLG","LIEGE airport","","BE_EBLG","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/BE_EBOS","OOSTENDE/BRUGGE airport","","BE_EBOS","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CZ_LKKV","KARLOVY VARY airport","","CZ_LKKV","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CZ_LKMT","OSTRAVA/MOSNOV airport","","CZ_LKMT","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CZ_LKPD","PARDUBICE airport","","CZ_LKPD","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CZ_LKPR","PRAHA/RUZYNE airport","","CZ_LKPR","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/CZ_LKTB","BRNO/TURANY airport","","CZ_LKTB","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/DK_EK99","Unknown airport - DENMARK","","DK_EK99","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/DK_EKAE","AERO airport","","DK_EKAE","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/DK_EKAH","AARHUS airport","","DK_EKAH","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/DK_EKBI","BILLUND airport","","DK_EKBI","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/DK_EKCH","KOBENHAVN/KASTRUP airport","","DK_EKCH","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/DK_EKEB","ESBJERG airport","","DK_EKEB","valid","2013-04-17"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/DK_EKKA","KARUP airport","","DK_EKKA","valid","2013-04-17"
