"URI","Label","Definition","Notation","Status","AcceptedDate","skos:exactMatch"
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/NBR","Number","","NBR","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/NR","Number","","NR","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/NR_HAB","Number per inhabitant","","NR_HAB","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/NR_GDP","Number per GDP","","NR_GDP","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/1000","Thousands","","1000","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/THS","Thousand","","THS","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MIO","Million","","MIO","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MRD","Milliards","","MRD","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/BN","Billion","","BN","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/HAB","Inhabitants/persons/capita","","HAB","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/100HAB","Per 100 inhabitants","","100HAB","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/1000HAB","Per 1 000 inhabitants","","1000HAB","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/100000HAB","Per 100,000 inhabitants","","100000HAB","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/I2000_HAB","Index per inhabitant, 2000=100","","I2000_HAB","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/I2005_HAB","Index per inhabitant, 2005=100","","I2005_HAB","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MIO_HAB","Per million of inhabitants","","MIO_HAB","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/HAB_PER_","Inhabitants per ...","","HAB_PER_","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/HAB_KM2","Inhabitants per square kilometre","","HAB_KM2","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/KM_1000KM2","Kilometres per 1 000 km2","","KM_1000KM2","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/EUR_KG","Euro per kilogram","","EUR_KG","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/EUR_CLV00_KG","Euro per kilogram (Euro: chain-linked volumes, reference year 2000, at 2000 exchange rates)","","EUR_CLV00_KG","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/EUR_CLV05_KG","Euro per kilogram (Euro: chain-linked volumes, reference year 2005, at 2005 exchange rates)","","EUR_CLV05_KG","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/EUR_HA","Euro per hectare","","EUR_HA","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/EUR_HAB","Euro per inhabitant","","EUR_HAB","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/EUR_HAB_EU","Euro per inhabitant in percentage of the EU average","","EUR_HAB_EU","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/EUR_HAB_CLV00","Euro per inhabitant, volume reference and exchange rates 2000","","EUR_HAB_CLV00","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/EUR_HAB_CLV05","Euro per inhabitant, volume reference and exchange rates 2005","","EUR_HAB_CLV05","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/EUR_HAB_KP00","Euro per inhabitant (at constant 2000 prices)","","EUR_HAB_KP00","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/EUR_HRS","Euro per hour worked","","EUR_HRS","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/NAC_HA","National currency per hectare","","NAC_HA","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/NAC_HAB","National currency per inhabitant","","NAC_HAB","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/NAC_HAB_CLV00","National currency per inhabitant, volume reference exchange rates 2000","","NAC_HAB_CLV00","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/NAC_HAB_CLV05","National currency per inhabitant, volume reference exchange rates 2005","","NAC_HAB_CLV05","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/NAC_HRS","National currency per hour worked","","NAC_HRS","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PPS_KG","Purchasing power standard (PPS) per kilogram","","PPS_KG","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PPS_HAB","Purchasing power standard (PPS) per inhabitant","","PPS_HAB","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PPS_HAB_EU","Purchasing power standard (PPS) per inhabitant in percentage of the EU average","","PPS_HAB_EU","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/EUR","Euro","","EUR","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/THS_EUR","Thousand euro","","THS_EUR","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/1000EUR","Thousands of euro","","1000EUR","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MIO_EUR","Million euro","","MIO_EUR","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MIO_EUR_KP00","Million euro (at constant 2000 prices)","","MIO_EUR_KP00","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MIO_EUR_KP10","Million euro (at constant 2010 prices)","","MIO_EUR_KP10","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MIO_EUR_KP11","Million euro (at constant 2011 prices)","","MIO_EUR_KP11","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MIO_EUR_KP_PRE","Million euro (at prices of the previous year)","","MIO_EUR_KP_PRE","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MIO_EUR_CLV2000","Million euro, chain-linked volumes, reference year 2000 (at 2000 exchange rates)","","MIO_EUR_CLV2000","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MIO_EUR_CLV2005","Million euro, chain-linked volumes, reference year 2005 (at 2005 exchange rates)","","MIO_EUR_CLV2005","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MIO_EUR_AVG_3Y2008","Millions of euro, annual average 2008 - 2010","","MIO_EUR_AVG_3Y2008","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/EUR_M3_CLV2005","Euro per cubic metre (Euro: chain-linked volumes, reference year 2005, at 2005 exchange rates)","","EUR_M3_CLV2005","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MRD_EUR","Milliards of euro (from 1.1.1999)/ECU (up to 31.12.1998)","","MRD_EUR","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/BN_EUR","Billion euro","","BN_EUR","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/CT","Euro cent","","CT","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/ECU","European currency unit (Ecu)","","ECU","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/NAC","National currency","","NAC","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/1000NAC","Thousands of national currency (including 'euro fixed' series for euro area countries)","","1000NAC","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/THS_NAC","Thousand units of national currency","","THS_NAC","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MIO_NAC","Million units of national currency","","MIO_NAC","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MIO_NAC_KP00","Million units of national currency at constant 2000 prices","","MIO_NAC_KP00","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MIO_NAC_KP_PRE","Million units of national currency at prices of the previous year","","MIO_NAC_KP_PRE","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MIO_NAC_CLV2000","Million units of national currency, chain-linked volumes, reference year 2000","","MIO_NAC_CLV2000","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MIO_NAC_CLV2005","Million units of national currency, chain-linked volumes, reference year 2005","","MIO_NAC_CLV2005","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MRD_NAC","Milliards of national currency (including 'euro fixed' series for euro area countries)","","MRD_NAC","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/BN_NAC","Billion units of national currency","","BN_NAC","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/NAT","National currency (former currencies of the euro area countries)","","NAT","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MIO_NAT","Million units of national currency (former currencies of the euro area countries)","","MIO_NAT","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PPS","Purchasing power standard (PPS)","","PPS","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PPS_KP00_HAB","Purchasing Power Standard per inhabitant at constant 2000 prices","","PPS_KP00_HAB","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PPS_HAB_KP05","Purchasing power standard (PPS) per inhabitant at constant 2005 prices","","PPS_HAB_KP05","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MIO_PPS","Million purchasing power standards (PPS)","","MIO_PPS","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MIO_PPS_KP00","Million purchasing power standards (PPS) at 2000 prices","","MIO_PPS_KP00","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MIO_PPS_KP05","Million purchasing power standards (PPS) at 2005 prices","","MIO_PPS_KP05","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MIO_PPCS","Million purchasing power standards based on final consumption","","MIO_PPCS","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PPCS_HAB","Purchasing power standard based on final consumption per inhabitant","","PPCS_HAB","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/GDP_EUR","Nominal GDP; absolute level in milliards of euro","","GDP_EUR","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/T","Tonne","","T","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/T_HAB","Tonnes per capita","","T_HAB","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/1000T","Thousands of tonnes","","1000T","invalid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/THS_T","Thousand tonnes","","THS_T","valid","2013-09-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/1000T_DAY","1000 tonnes per day","","1000T_DAY","invalid","2013-09-24",
